threads,label,time_mean,time_std,runs,speedup,efficiency
1,"static,1.0",226.6555,1.619981635698378,2,1.0279477003646504,1.0279477003646504
1,"static,10.0",225.54,0.40446507883870714,2,1.0330318347078125,1.0330318347078125
1,unset,235.82150000000001,1.9961624432896188,2,0.9879930371064555,0.9879930371064555
2,"dynamic,1.0",133.558,1.284105914634762,2,1.7444855418619627,0.8722427709309813
2,"static,1.0",244.7905,19.56210910152584,2,0.9517934723774003,0.47589673618870015
2,"static,10.0",128.9735,0.34436100243786505,2,1.806495132721063,0.9032475663605315
2,unset,134.894,2.019496967068776,2,1.7272080300087476,0.8636040150043738
4,"dynamic,1.0",85.65615,2.671237287288423,2,2.720061548411877,0.6800153871029693
4,"dynamic,100.0",82.18265,2.7067340477039847,2,2.835026614498316,0.708756653624579
4,"guided,1.0",85.5124,0.313672568134355,2,2.724634088155636,0.681158522038909
4,"guided,10.0",85.1309,0.21085924214981938,2,2.7368440836406056,0.6842110209101514
4,"static,1.0",133.43400000000003,1.3336033893178156,2,1.7461066894494655,0.43652667236236636
4,unset,85.23622499999999,0.559782602891518,4,2.7334622104627466,0.6833655526156867
8,"dynamic,1.0",66.27950000000001,1.398798634543224,2,3.515264900912046,0.43940811261400575
8,"static,1.0",85.90090000000001,0.9394620694844481,2,2.7123115124521395,0.33903893905651744
